tender_id,category,tender_budget_kes,tender_open_date,tender_description,procuring_entity
364,Cleaning & Sanitary Services,1519920,2021-07-26,Supply and delivery of cleaning & sanitary services items,Ministry of Soldier
365,ICT Equipment & Software,36233873,2024-03-30,Supply and delivery of ict equipment & software items,Ministry of Explain
366,Office Stationery & Supplies,9938074,2021-06-22,Supply and delivery of office stationery & supplies items,Ministry of Fund
367,Consultancy Services,2188062,2022-01-18,Supply and delivery of consultancy services items,Ministry of Machine
368,Construction & Civil Works,258493147,2025-10-02,Supply and delivery of construction & civil works items,Ministry of Get
369,Motor Vehicles & Spare Parts,3961774,2020-02-04,Supply and delivery of motor vehicles & spare parts items,Ministry of Role
370,Medical Supplies & Pharmaceuticals,3577084,2020-10-19,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Win
371,Office Stationery & Supplies,3499752,2020-01-05,Supply and delivery of office stationery & supplies items,Ministry of Maybe
372,Office Stationery & Supplies,5432889,2020-01-10,Supply and delivery of office stationery & supplies items,Ministry of Act
373,Office Stationery & Supplies,144816,2024-01-13,Supply and delivery of office stationery & supplies items,Ministry of Job
374,Office Stationery & Supplies,4263960,2023-05-02,Supply and delivery of office stationery & supplies items,Ministry of Same
375,Construction & Civil Works,330849009,2024-03-20,Supply and delivery of construction & civil works items,Ministry of Sound
376,Medical Supplies & Pharmaceuticals,3964044,2022-05-10,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Beat
377,Motor Vehicles & Spare Parts,321552,2024-09-20,Supply and delivery of motor vehicles & spare parts items,Ministry of Range
378,Consultancy Services,1997951,2023-11-27,Supply and delivery of consultancy services items,Ministry of Nothing
379,Medical Supplies & Pharmaceuticals,8805070,2020-03-08,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of There
380,Motor Vehicles & Spare Parts,2257280,2024-11-22,Supply and delivery of motor vehicles & spare parts items,Ministry of Light
381,Construction & Civil Works,72917165,2024-01-12,Supply and delivery of construction & civil works items,Ministry of Head
382,Consultancy Services,6396495,2025-10-30,Supply and delivery of consultancy services items,Ministry of However
383,ICT Equipment & Software,612935,2024-12-17,Supply and delivery of ict equipment & software items,Ministry of Help
384,Office Stationery & Supplies,8300252,2022-04-27,Supply and delivery of office stationery & supplies items,Ministry of Those
385,ICT Equipment & Software,14869952,2024-08-09,Supply and delivery of ict equipment & software items,Ministry of Same
386,Office Stationery & Supplies,4623535,2025-11-25,Supply and delivery of office stationery & supplies items,Ministry of Capital
387,ICT Equipment & Software,21587734,2022-10-10,Supply and delivery of ict equipment & software items,Ministry of Would
388,ICT Equipment & Software,43296369,2021-02-26,Supply and delivery of ict equipment & software items,Ministry of Act
389,Cleaning & Sanitary Services,2126110,2021-04-30,Supply and delivery of cleaning & sanitary services items,Ministry of Again
390,Office Stationery & Supplies,5741379,2024-07-19,Supply and delivery of office stationery & supplies items,Ministry of Response
391,Office Stationery & Supplies,8925150,2025-07-11,Supply and delivery of office stationery & supplies items,Ministry of Help
392,Consultancy Services,7028887,2021-02-23,Supply and delivery of consultancy services items,Ministry of Team
393,Cleaning & Sanitary Services,8227333,2023-09-06,Supply and delivery of cleaning & sanitary services items,Ministry of Floor
394,Construction & Civil Works,19418934,2024-11-06,Supply and delivery of construction & civil works items,Ministry of Do
395,Office Stationery & Supplies,8336781,2021-05-28,Supply and delivery of office stationery & supplies items,Ministry of Minute
396,Office Stationery & Supplies,5302413,2025-10-20,Supply and delivery of office stationery & supplies items,Ministry of Although
397,ICT Equipment & Software,24640496,2021-09-07,Supply and delivery of ict equipment & software items,Ministry of West
398,Construction & Civil Works,353826108,2024-03-22,Supply and delivery of construction & civil works items,Ministry of Police
399,Cleaning & Sanitary Services,6866886,2021-04-03,Supply and delivery of cleaning & sanitary services items,Ministry of Deal
400,Construction & Civil Works,499751675,2025-11-26,Supply and delivery of construction & civil works items,Ministry of Pull
401,Medical Supplies & Pharmaceuticals,5231104,2022-05-17,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of True
402,Cleaning & Sanitary Services,2027716,2021-08-30,Supply and delivery of cleaning & sanitary services items,Ministry of Month
403,Construction & Civil Works,155357841,2022-12-18,Supply and delivery of construction & civil works items,Ministry of Old
404,Office Stationery & Supplies,5341684,2021-02-28,Supply and delivery of office stationery & supplies items,Ministry of Single
405,ICT Equipment & Software,23036636,2023-05-24,Supply and delivery of ict equipment & software items,Ministry of Rest
406,ICT Equipment & Software,10532315,2023-08-14,Supply and delivery of ict equipment & software items,Ministry of Continue
407,Cleaning & Sanitary Services,7917209,2020-05-23,Supply and delivery of cleaning & sanitary services items,Ministry of Career
408,Medical Supplies & Pharmaceuticals,3900315,2024-06-22,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Care
409,Office Stationery & Supplies,6569723,2021-07-22,Supply and delivery of office stationery & supplies items,Ministry of Over
410,ICT Equipment & Software,844126,2025-02-17,Supply and delivery of ict equipment & software items,Ministry of Upon
411,Cleaning & Sanitary Services,5207385,2023-02-20,Supply and delivery of cleaning & sanitary services items,Ministry of Stay
412,Construction & Civil Works,331841548,2021-08-24,Supply and delivery of construction & civil works items,Ministry of Thus
413,Medical Supplies & Pharmaceuticals,1770357,2024-01-25,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Room
414,Motor Vehicles & Spare Parts,6493404,2024-01-24,Supply and delivery of motor vehicles & spare parts items,Ministry of Possible
415,Office Stationery & Supplies,4255479,2021-07-08,Supply and delivery of office stationery & supplies items,Ministry of Opportunity
416,Medical Supplies & Pharmaceuticals,8786594,2025-04-18,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Able
417,Cleaning & Sanitary Services,9342213,2025-08-16,Supply and delivery of cleaning & sanitary services items,Ministry of Put
418,Cleaning & Sanitary Services,1415823,2024-01-14,Supply and delivery of cleaning & sanitary services items,Ministry of Rate
419,Consultancy Services,870692,2020-04-23,Supply and delivery of consultancy services items,Ministry of Wrong
420,Construction & Civil Works,265475593,2021-12-08,Supply and delivery of construction & civil works items,Ministry of Three
421,Medical Supplies & Pharmaceuticals,773812,2025-12-20,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Eye
422,ICT Equipment & Software,29235942,2020-09-23,Supply and delivery of ict equipment & software items,Ministry of National
423,Office Stationery & Supplies,7082252,2022-10-19,Supply and delivery of office stationery & supplies items,Ministry of High
424,Motor Vehicles & Spare Parts,6716659,2023-02-07,Supply and delivery of motor vehicles & spare parts items,Ministry of Animal
425,Office Stationery & Supplies,4639170,2025-04-20,Supply and delivery of office stationery & supplies items,Ministry of Door
426,Medical Supplies & Pharmaceuticals,636644,2020-04-12,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Why
427,Construction & Civil Works,261868547,2022-07-09,Supply and delivery of construction & civil works items,Ministry of List
428,Medical Supplies & Pharmaceuticals,8261562,2021-11-23,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Including
429,ICT Equipment & Software,18984758,2021-03-02,Supply and delivery of ict equipment & software items,Ministry of Beat
430,Construction & Civil Works,464071764,2025-04-12,Supply and delivery of construction & civil works items,Ministry of System
431,Consultancy Services,9663454,2020-02-25,Supply and delivery of consultancy services items,Ministry of Sing
432,ICT Equipment & Software,2349395,2021-05-09,Supply and delivery of ict equipment & software items,Ministry of Road
433,Construction & Civil Works,340509228,2022-07-17,Supply and delivery of construction & civil works items,Ministry of Bad
434,Motor Vehicles & Spare Parts,5324237,2025-07-02,Supply and delivery of motor vehicles & spare parts items,Ministry of Debate
435,Motor Vehicles & Spare Parts,5260324,2020-12-26,Supply and delivery of motor vehicles & spare parts items,Ministry of Foreign
436,Medical Supplies & Pharmaceuticals,7521289,2020-05-17,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Process
437,ICT Equipment & Software,16051270,2020-07-30,Supply and delivery of ict equipment & software items,Ministry of Media
438,Construction & Civil Works,299673264,2022-08-04,Supply and delivery of construction & civil works items,Ministry of Agent
439,Consultancy Services,5317084,2023-07-22,Supply and delivery of consultancy services items,Ministry of Produce
440,Construction & Civil Works,338464581,2025-08-10,Supply and delivery of construction & civil works items,Ministry of Though
441,Office Stationery & Supplies,3305228,2021-07-02,Supply and delivery of office stationery & supplies items,Ministry of Box
442,Office Stationery & Supplies,5399238,2022-11-03,Supply and delivery of office stationery & supplies items,Ministry of Grow
443,Cleaning & Sanitary Services,8982600,2024-12-29,Supply and delivery of cleaning & sanitary services items,Ministry of Term
444,Cleaning & Sanitary Services,6614948,2021-12-31,Supply and delivery of cleaning & sanitary services items,Ministry of Study
445,ICT Equipment & Software,40771958,2021-06-02,Supply and delivery of ict equipment & software items,Ministry of Baby
446,Construction & Civil Works,412083083,2024-08-26,Supply and delivery of construction & civil works items,Ministry of President
447,Motor Vehicles & Spare Parts,3991151,2022-08-18,Supply and delivery of motor vehicles & spare parts items,Ministry of Beyond
448,Office Stationery & Supplies,2048061,2023-10-02,Supply and delivery of office stationery & supplies items,Ministry of Particular
449,Construction & Civil Works,61912766,2020-09-30,Supply and delivery of construction & civil works items,Ministry of Ask
450,Cleaning & Sanitary Services,998332,2025-07-01,Supply and delivery of cleaning & sanitary services items,Ministry of Huge
451,Motor Vehicles & Spare Parts,7703876,2021-11-17,Supply and delivery of motor vehicles & spare parts items,Ministry of Thus
452,Motor Vehicles & Spare Parts,8651795,2024-02-28,Supply and delivery of motor vehicles & spare parts items,Ministry of Stay
453,Motor Vehicles & Spare Parts,4803855,2020-10-06,Supply and delivery of motor vehicles & spare parts items,Ministry of Wide
454,Motor Vehicles & Spare Parts,5348400,2024-10-24,Supply and delivery of motor vehicles & spare parts items,Ministry of Around
455,Motor Vehicles & Spare Parts,8656135,2021-10-22,Supply and delivery of motor vehicles & spare parts items,Ministry of Produce
456,Consultancy Services,2844804,2022-08-04,Supply and delivery of consultancy services items,Ministry of Blue
457,Cleaning & Sanitary Services,1687819,2024-01-24,Supply and delivery of cleaning & sanitary services items,Ministry of Operation
458,ICT Equipment & Software,22459317,2020-04-24,Supply and delivery of ict equipment & software items,Ministry of To
459,Cleaning & Sanitary Services,6641600,2022-04-15,Supply and delivery of cleaning & sanitary services items,Ministry of Big
460,Cleaning & Sanitary Services,694557,2023-09-14,Supply and delivery of cleaning & sanitary services items,Ministry of Item
461,Office Stationery & Supplies,8454207,2021-05-25,Supply and delivery of office stationery & supplies items,Ministry of Place
462,ICT Equipment & Software,29115154,2024-09-21,Supply and delivery of ict equipment & software items,Ministry of Price
463,Cleaning & Sanitary Services,1825049,2020-01-24,Supply and delivery of cleaning & sanitary services items,Ministry of If
464,ICT Equipment & Software,41900302,2022-10-14,Supply and delivery of ict equipment & software items,Ministry of Later
465,Medical Supplies & Pharmaceuticals,583442,2025-04-11,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of President
466,Medical Supplies & Pharmaceuticals,5372225,2020-08-09,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Rather
467,Construction & Civil Works,378208297,2025-08-16,Supply and delivery of construction & civil works items,Ministry of Stay
468,Medical Supplies & Pharmaceuticals,6722766,2020-02-26,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Nation
469,Cleaning & Sanitary Services,8586014,2021-12-20,Supply and delivery of cleaning & sanitary services items,Ministry of Data
470,Office Stationery & Supplies,3552814,2020-08-24,Supply and delivery of office stationery & supplies items,Ministry of Actually
471,Cleaning & Sanitary Services,6970679,2023-07-28,Supply and delivery of cleaning & sanitary services items,Ministry of Author
472,Office Stationery & Supplies,9510044,2023-07-23,Supply and delivery of office stationery & supplies items,Ministry of Though
473,Construction & Civil Works,180127726,2021-02-28,Supply and delivery of construction & civil works items,Ministry of Page
474,Construction & Civil Works,236689149,2020-10-03,Supply and delivery of construction & civil works items,Ministry of Mr
475,Construction & Civil Works,180685650,2021-07-15,Supply and delivery of construction & civil works items,Ministry of Know
476,Office Stationery & Supplies,4898793,2022-11-20,Supply and delivery of office stationery & supplies items,Ministry of Pressure
477,Motor Vehicles & Spare Parts,2428476,2022-09-01,Supply and delivery of motor vehicles & spare parts items,Ministry of Eight
478,ICT Equipment & Software,25016082,2020-10-28,Supply and delivery of ict equipment & software items,Ministry of Another
479,Consultancy Services,5213728,2020-05-12,Supply and delivery of consultancy services items,Ministry of Forget
480,ICT Equipment & Software,28488060,2023-07-04,Supply and delivery of ict equipment & software items,Ministry of Must
481,Motor Vehicles & Spare Parts,9176940,2025-10-03,Supply and delivery of motor vehicles & spare parts items,Ministry of Somebody
482,Construction & Civil Works,254654588,2022-02-22,Supply and delivery of construction & civil works items,Ministry of Past
483,Consultancy Services,6952902,2025-04-23,Supply and delivery of consultancy services items,Ministry of Stand
484,ICT Equipment & Software,13930854,2020-11-15,Supply and delivery of ict equipment & software items,Ministry of Manager
485,Consultancy Services,5401572,2021-11-07,Supply and delivery of consultancy services items,Ministry of Gun
486,ICT Equipment & Software,22188624,2021-09-29,Supply and delivery of ict equipment & software items,Ministry of Across
487,Office Stationery & Supplies,5216934,2023-02-08,Supply and delivery of office stationery & supplies items,Ministry of Really
488,ICT Equipment & Software,34022480,2024-01-26,Supply and delivery of ict equipment & software items,Ministry of Art
489,Motor Vehicles & Spare Parts,5695956,2021-06-04,Supply and delivery of motor vehicles & spare parts items,Ministry of Tell
490,Construction & Civil Works,82842160,2025-01-03,Supply and delivery of construction & civil works items,Ministry of Town
491,Cleaning & Sanitary Services,8003402,2020-04-29,Supply and delivery of cleaning & sanitary services items,Ministry of Guy
492,Construction & Civil Works,212216890,2021-03-04,Supply and delivery of construction & civil works items,Ministry of Deep
493,Consultancy Services,8127522,2023-11-04,Supply and delivery of consultancy services items,Ministry of Defense
494,Motor Vehicles & Spare Parts,4960319,2024-09-16,Supply and delivery of motor vehicles & spare parts items,Ministry of Growth
495,ICT Equipment & Software,14554779,2021-02-18,Supply and delivery of ict equipment & software items,Ministry of Maybe
496,Construction & Civil Works,461625973,2024-03-02,Supply and delivery of construction & civil works items,Ministry of Manage
497,Medical Supplies & Pharmaceuticals,8530664,2023-08-07,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Glass
498,Construction & Civil Works,391784348,2025-02-09,Supply and delivery of construction & civil works items,Ministry of Others
499,Construction & Civil Works,405832847,2025-10-11,Supply and delivery of construction & civil works items,Ministry of Power
500,Construction & Civil Works,477852978,2021-10-18,Supply and delivery of construction & civil works items,Ministry of Get
501,Medical Supplies & Pharmaceuticals,6959698,2020-12-21,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Look
502,Cleaning & Sanitary Services,1506150,2025-04-03,Supply and delivery of cleaning & sanitary services items,Ministry of Whether
503,Cleaning & Sanitary Services,1329458,2020-04-02,Supply and delivery of cleaning & sanitary services items,Ministry of Discuss
504,ICT Equipment & Software,32969420,2025-07-08,Supply and delivery of ict equipment & software items,Ministry of Purpose
505,Motor Vehicles & Spare Parts,6396450,2021-05-03,Supply and delivery of motor vehicles & spare parts items,Ministry of Drug
506,Office Stationery & Supplies,6460756,2022-10-19,Supply and delivery of office stationery & supplies items,Ministry of Different
507,Cleaning & Sanitary Services,4855997,2021-06-07,Supply and delivery of cleaning & sanitary services items,Ministry of Simple
508,Construction & Civil Works,234942503,2024-08-10,Supply and delivery of construction & civil works items,Ministry of Teacher
509,ICT Equipment & Software,48384722,2021-12-27,Supply and delivery of ict equipment & software items,Ministry of Sister
510,ICT Equipment & Software,19714047,2022-04-03,Supply and delivery of ict equipment & software items,Ministry of Instead
511,Cleaning & Sanitary Services,8843662,2021-02-07,Supply and delivery of cleaning & sanitary services items,Ministry of According
512,Construction & Civil Works,404714595,2022-03-05,Supply and delivery of construction & civil works items,Ministry of Back
513,Motor Vehicles & Spare Parts,780667,2022-02-23,Supply and delivery of motor vehicles & spare parts items,Ministry of One
514,Medical Supplies & Pharmaceuticals,5419728,2020-09-09,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Fill
515,Consultancy Services,5510897,2022-08-22,Supply and delivery of consultancy services items,Ministry of Program
516,ICT Equipment & Software,30305100,2023-07-07,Supply and delivery of ict equipment & software items,Ministry of Southern
517,Cleaning & Sanitary Services,4737203,2022-02-27,Supply and delivery of cleaning & sanitary services items,Ministry of All
518,Consultancy Services,2099482,2021-03-12,Supply and delivery of consultancy services items,Ministry of Federal
519,ICT Equipment & Software,37703676,2021-01-16,Supply and delivery of ict equipment & software items,Ministry of Value
520,Office Stationery & Supplies,5946866,2021-07-28,Supply and delivery of office stationery & supplies items,Ministry of Contain
521,Office Stationery & Supplies,6282719,2022-01-14,Supply and delivery of office stationery & supplies items,Ministry of Once
522,Office Stationery & Supplies,9954523,2021-06-22,Supply and delivery of office stationery & supplies items,Ministry of Deal
523,Medical Supplies & Pharmaceuticals,2159385,2020-02-17,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Threat
524,Motor Vehicles & Spare Parts,7549194,2021-07-27,Supply and delivery of motor vehicles & spare parts items,Ministry of Blood
525,Office Stationery & Supplies,1475645,2020-02-15,Supply and delivery of office stationery & supplies items,Ministry of Research
526,Office Stationery & Supplies,6662877,2020-10-27,Supply and delivery of office stationery & supplies items,Ministry of Real
527,Construction & Civil Works,27821211,2024-09-21,Supply and delivery of construction & civil works items,Ministry of Bring
528,Motor Vehicles & Spare Parts,7064705,2022-01-11,Supply and delivery of motor vehicles & spare parts items,Ministry of Develop
529,Consultancy Services,9188503,2021-10-30,Supply and delivery of consultancy services items,Ministry of Education
530,Motor Vehicles & Spare Parts,7756495,2022-03-20,Supply and delivery of motor vehicles & spare parts items,Ministry of Hotel
531,Construction & Civil Works,352957155,2023-12-19,Supply and delivery of construction & civil works items,Ministry of Yeah
532,Construction & Civil Works,364547129,2023-02-28,Supply and delivery of construction & civil works items,Ministry of Successful
533,ICT Equipment & Software,3549316,2025-12-25,Supply and delivery of ict equipment & software items,Ministry of Upon
534,Consultancy Services,9638342,2022-08-08,Supply and delivery of consultancy services items,Ministry of Seek
535,ICT Equipment & Software,37015315,2020-05-23,Supply and delivery of ict equipment & software items,Ministry of Charge
536,Construction & Civil Works,67827874,2025-04-18,Supply and delivery of construction & civil works items,Ministry of Case
537,Consultancy Services,1006450,2024-10-07,Supply and delivery of consultancy services items,Ministry of Dark
538,Medical Supplies & Pharmaceuticals,382140,2023-03-12,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Run
539,Office Stationery & Supplies,8313062,2022-03-30,Supply and delivery of office stationery & supplies items,Ministry of Place
540,Medical Supplies & Pharmaceuticals,658981,2022-07-30,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Provide
541,Consultancy Services,8597552,2021-06-19,Supply and delivery of consultancy services items,Ministry of Any
542,Motor Vehicles & Spare Parts,7783647,2024-07-29,Supply and delivery of motor vehicles & spare parts items,Ministry of People
543,ICT Equipment & Software,38445833,2021-02-18,Supply and delivery of ict equipment & software items,Ministry of North
544,Consultancy Services,2053341,2021-10-06,Supply and delivery of consultancy services items,Ministry of Church
545,ICT Equipment & Software,43576427,2021-12-18,Supply and delivery of ict equipment & software items,Ministry of Argue
546,ICT Equipment & Software,37957340,2023-10-11,Supply and delivery of ict equipment & software items,Ministry of Far
547,Consultancy Services,8003498,2025-03-27,Supply and delivery of consultancy services items,Ministry of Today
548,Cleaning & Sanitary Services,5798618,2023-01-18,Supply and delivery of cleaning & sanitary services items,Ministry of Pattern
549,Construction & Civil Works,433514540,2025-04-24,Supply and delivery of construction & civil works items,Ministry of Determine
550,Office Stationery & Supplies,9285665,2024-05-12,Supply and delivery of office stationery & supplies items,Ministry of Still
551,Cleaning & Sanitary Services,6336893,2022-10-28,Supply and delivery of cleaning & sanitary services items,Ministry of Record
552,Medical Supplies & Pharmaceuticals,7350569,2023-09-09,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Computer
553,Medical Supplies & Pharmaceuticals,1905518,2023-01-19,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Society
554,Construction & Civil Works,368646681,2025-04-17,Supply and delivery of construction & civil works items,Ministry of Society
555,ICT Equipment & Software,37653969,2023-01-20,Supply and delivery of ict equipment & software items,Ministry of Moment
556,Medical Supplies & Pharmaceuticals,6621689,2023-02-10,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Country
557,Motor Vehicles & Spare Parts,6398941,2021-12-06,Supply and delivery of motor vehicles & spare parts items,Ministry of Hour
558,Construction & Civil Works,99257535,2023-02-25,Supply and delivery of construction & civil works items,Ministry of Meeting
559,Cleaning & Sanitary Services,4191685,2024-04-16,Supply and delivery of cleaning & sanitary services items,Ministry of Miss
560,Construction & Civil Works,65395758,2022-11-04,Supply and delivery of construction & civil works items,Ministry of Party
561,Office Stationery & Supplies,6836549,2022-05-28,Supply and delivery of office stationery & supplies items,Ministry of Will
562,Office Stationery & Supplies,1358624,2024-09-28,Supply and delivery of office stationery & supplies items,Ministry of Rate
563,Cleaning & Sanitary Services,7396991,2020-03-21,Supply and delivery of cleaning & sanitary services items,Ministry of Discuss
564,Medical Supplies & Pharmaceuticals,9451060,2025-05-14,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Live
565,ICT Equipment & Software,7171203,2025-03-06,Supply and delivery of ict equipment & software items,Ministry of Individual
566,Motor Vehicles & Spare Parts,2850025,2021-04-23,Supply and delivery of motor vehicles & spare parts items,Ministry of Large
567,Motor Vehicles & Spare Parts,5835630,2025-05-01,Supply and delivery of motor vehicles & spare parts items,Ministry of Owner
568,Medical Supplies & Pharmaceuticals,2614399,2020-12-10,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Thousand
569,Motor Vehicles & Spare Parts,1055205,2022-03-30,Supply and delivery of motor vehicles & spare parts items,Ministry of Oil
570,Medical Supplies & Pharmaceuticals,1066649,2020-07-04,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Society
571,Consultancy Services,7593971,2020-07-03,Supply and delivery of consultancy services items,Ministry of Light
572,Medical Supplies & Pharmaceuticals,9422656,2023-02-10,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Drug
573,Medical Supplies & Pharmaceuticals,7676126,2023-07-03,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Make
574,Cleaning & Sanitary Services,5161500,2023-01-27,Supply and delivery of cleaning & sanitary services items,Ministry of Great
575,Consultancy Services,7596287,2022-07-22,Supply and delivery of consultancy services items,Ministry of Manage
576,Office Stationery & Supplies,564462,2022-08-05,Supply and delivery of office stationery & supplies items,Ministry of Hold
577,Consultancy Services,4968923,2024-10-28,Supply and delivery of consultancy services items,Ministry of Free
578,Cleaning & Sanitary Services,8030221,2021-08-21,Supply and delivery of cleaning & sanitary services items,Ministry of Ago
579,Office Stationery & Supplies,4703623,2021-01-28,Supply and delivery of office stationery & supplies items,Ministry of East
580,Motor Vehicles & Spare Parts,374535,2021-08-04,Supply and delivery of motor vehicles & spare parts items,Ministry of Bag
581,Consultancy Services,5240709,2022-02-25,Supply and delivery of consultancy services items,Ministry of Beautiful
582,ICT Equipment & Software,5316129,2021-10-07,Supply and delivery of ict equipment & software items,Ministry of More
583,Office Stationery & Supplies,1017472,2023-01-28,Supply and delivery of office stationery & supplies items,Ministry of Quickly
584,Cleaning & Sanitary Services,3749279,2020-06-20,Supply and delivery of cleaning & sanitary services items,Ministry of Factor
585,Cleaning & Sanitary Services,5116239,2025-07-23,Supply and delivery of cleaning & sanitary services items,Ministry of Billion
586,Office Stationery & Supplies,3321131,2020-09-16,Supply and delivery of office stationery & supplies items,Ministry of Here
587,Office Stationery & Supplies,9077182,2020-03-24,Supply and delivery of office stationery & supplies items,Ministry of Deep
588,Office Stationery & Supplies,8593535,2022-01-01,Supply and delivery of office stationery & supplies items,Ministry of Republican
589,Consultancy Services,7883874,2021-12-22,Supply and delivery of consultancy services items,Ministry of Five
590,Consultancy Services,4317690,2024-06-20,Supply and delivery of consultancy services items,Ministry of Special
591,Office Stationery & Supplies,3749886,2024-02-06,Supply and delivery of office stationery & supplies items,Ministry of Face
592,Motor Vehicles & Spare Parts,4546460,2021-02-21,Supply and delivery of motor vehicles & spare parts items,Ministry of Pm
593,Consultancy Services,5144080,2025-12-26,Supply and delivery of consultancy services items,Ministry of Top
594,Office Stationery & Supplies,4763754,2024-07-06,Supply and delivery of office stationery & supplies items,Ministry of Sister
595,Office Stationery & Supplies,6640180,2023-04-04,Supply and delivery of office stationery & supplies items,Ministry of Every
596,Office Stationery & Supplies,8603197,2020-01-19,Supply and delivery of office stationery & supplies items,Ministry of Firm
597,Motor Vehicles & Spare Parts,9107611,2021-09-09,Supply and delivery of motor vehicles & spare parts items,Ministry of Half
598,Consultancy Services,6754754,2024-09-11,Supply and delivery of consultancy services items,Ministry of International
599,Cleaning & Sanitary Services,6648894,2025-09-03,Supply and delivery of cleaning & sanitary services items,Ministry of Term
600,Cleaning & Sanitary Services,2607743,2023-06-24,Supply and delivery of cleaning & sanitary services items,Ministry of Reality
601,Medical Supplies & Pharmaceuticals,5177198,2020-01-27,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Ready
602,Office Stationery & Supplies,6284377,2023-01-28,Supply and delivery of office stationery & supplies items,Ministry of Sort
603,Office Stationery & Supplies,4024482,2025-09-15,Supply and delivery of office stationery & supplies items,Ministry of Tree
604,Consultancy Services,5047796,2022-05-20,Supply and delivery of consultancy services items,Ministry of Dream
605,Consultancy Services,4390697,2024-05-03,Supply and delivery of consultancy services items,Ministry of Determine
606,Office Stationery & Supplies,6986940,2022-11-05,Supply and delivery of office stationery & supplies items,Ministry of Name
607,Motor Vehicles & Spare Parts,3912010,2023-07-10,Supply and delivery of motor vehicles & spare parts items,Ministry of Old
608,ICT Equipment & Software,18848105,2024-07-17,Supply and delivery of ict equipment & software items,Ministry of Seven
609,Consultancy Services,3171640,2024-11-19,Supply and delivery of consultancy services items,Ministry of Grow
610,Medical Supplies & Pharmaceuticals,5353974,2024-10-01,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Form
611,Office Stationery & Supplies,1784449,2025-01-27,Supply and delivery of office stationery & supplies items,Ministry of Laugh
612,Motor Vehicles & Spare Parts,5853371,2024-08-14,Supply and delivery of motor vehicles & spare parts items,Ministry of Save
613,Consultancy Services,1217374,2022-07-04,Supply and delivery of consultancy services items,Ministry of Leg
614,Office Stationery & Supplies,2398756,2022-09-12,Supply and delivery of office stationery & supplies items,Ministry of Open
615,Office Stationery & Supplies,7200052,2020-03-06,Supply and delivery of office stationery & supplies items,Ministry of Chair
616,Medical Supplies & Pharmaceuticals,8518865,2023-06-19,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Career
617,Medical Supplies & Pharmaceuticals,7273877,2021-10-31,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Sing
618,Construction & Civil Works,375084009,2020-01-22,Supply and delivery of construction & civil works items,Ministry of Take
619,Medical Supplies & Pharmaceuticals,518829,2023-12-14,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Hear
620,Office Stationery & Supplies,7140906,2022-01-14,Supply and delivery of office stationery & supplies items,Ministry of Kind
621,Consultancy Services,7617750,2022-07-21,Supply and delivery of consultancy services items,Ministry of Soldier
622,Cleaning & Sanitary Services,8813937,2022-06-02,Supply and delivery of cleaning & sanitary services items,Ministry of Start
623,Motor Vehicles & Spare Parts,1643812,2024-02-21,Supply and delivery of motor vehicles & spare parts items,Ministry of Firm
624,Motor Vehicles & Spare Parts,7931038,2021-12-15,Supply and delivery of motor vehicles & spare parts items,Ministry of Agency
625,Construction & Civil Works,106528552,2023-05-28,Supply and delivery of construction & civil works items,Ministry of Almost
626,Cleaning & Sanitary Services,8048745,2025-07-13,Supply and delivery of cleaning & sanitary services items,Ministry of Class
627,Cleaning & Sanitary Services,7404000,2025-11-11,Supply and delivery of cleaning & sanitary services items,Ministry of Give
